# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.757148361215784327e+00, 6.242142012417220442e+00, 9.188272222651172605e-01, 7.453008018691914538e-01
-2.842386759259735829e+00, 6.116254018812576909e+00, 9.220757376275542372e-01, 7.446571089054822012e-01
-2.917119969844893745e+00, 5.985724975812462212e+00, 9.237436368442525358e-01, 7.468630482474878374e-01
-2.981292724598685773e+00, 5.852187132877663345e+00, 9.234338834979889388e-01, 7.464871420562130266e-01
-3.035242550837056630e+00, 5.717028225133063302e+00, 9.199754314045455184e-01, 7.505781601496925859e-01
-3.080286615281532914e+00, 5.580385480027576506e+00, 9.104873757760312269e-01, 7.555641726876176634e-01
-3.118399448689602060e+00, 5.441189564812916934e+00, 8.968090089947486909e-01, 7.620923233530321195e-01
-3.150430775256841898e+00, 5.298785248290940331e+00, 8.798149282735416854e-01, 7.744420042668238580e-01
-3.176973296869630925e+00, 5.153006661714174541e+00, 8.593054865378789708e-01, 7.888478211674025964e-01
-3.198528588423203090e+00, 5.004125929514009030e+00, 8.383560766208082438e-01, 8.054185230399824036e-01
-3.215620802157295621e+00, 4.852745828676715334e+00, 8.178980330469332038e-01, 8.241810348330340652e-01
-3.228847934924917507e+00, 4.699680349663358570e+00, 7.987213874051908302e-01, 8.448042152319283904e-01
-3.238879148314400158e+00, 4.545848720010788213e+00, 7.814546900905038340e-01, 8.659982550015692393e-01
-3.246398210213226054e+00, 4.392184809816948921e+00, 7.667235374354066657e-01, 8.859402552966002542e-01
-3.252144767274081083e+00, 4.239580847104626571e+00, 7.550249547627665425e-01, 9.031535816906253178e-01
-3.256831579511989094e+00, 4.088676481831612364e+00, 7.463860580311505455e-01, 9.156850569568357745e-01
-3.260722256669190244e+00, 3.939147503898751346e+00, 7.407862302061836157e-01, 9.226423167638624356e-01
-3.263963342270844947e+00, 3.790210336526762980e+00, 7.378234602684786703e-01, 9.246652913921799000e-01
-3.267109952040917698e+00, 3.641501140317206620e+00, 7.364282689952837968e-01, 9.227278924840380814e-01
-3.270478096206821839e+00, 3.492688982760880023e+00, 7.359002280746650415e-01, 9.179489827107945032e-01
-3.274223176135726998e+00, 3.343519717797045487e+00, 7.357595953315504422e-01, 9.115644589414650945e-01
-3.278275280666487212e+00, 3.193766816091837324e+00, 7.357667753321230908e-01, 9.047291401759840479e-01
-3.282316237919969737e+00, 3.043217260717355988e+00, 7.359071460430580691e-01, 8.983312083329212383e-01
-3.285782451675260951e+00, 2.891662340509518980e+00, 7.363817917713546546e-01, 8.928450800264635667e-01
-3.287898826652160267e+00, 2.738895719491670100e+00, 7.376075551833054522e-01, 8.882976173950769549e-01
-3.287727355568897281e+00, 2.584743764671188160e+00, 7.402141476936541231e-01, 8.843247150832405090e-01
-3.284176495621963454e+00, 2.429018382582114999e+00, 7.450507086789845967e-01, 8.803134580341231974e-01
-3.275935596573568809e+00, 2.271922223755673542e+00, 7.531360609015900209e-01, 8.754265637375822084e-01
-3.261711110966965421e+00, 2.114412704550256983e+00, 7.651336084949984517e-01, 8.691363720549329930e-01
-3.240461706323379154e+00, 1.957692305174424163e+00, 7.806949859749610088e-01, 8.623335392171495029e-01
-3.211377666839887457e+00, 1.803064124993735584e+00, 8.005821438788230937e-01, 8.530529218579735451e-01
-3.174052195268627585e+00, 1.651910059354066318e+00, 8.240742600521622219e-01, 8.417509707246297879e-01
-3.128505302949306177e+00, 1.505604642362580403e+00, 8.484366792167901128e-01, 8.298129168565235858e-01
-3.075126902013237462e+00, 1.365397324312549010e+00, 8.738336702734530448e-01, 8.147169141137644566e-01
-3.014554380241688758e+00, 1.232271627292915062e+00, 8.964867347464219316e-01, 7.999556004157806210e-01
-2.947507915534504974e+00, 1.106773506314549183e+00, 9.153449970808614777e-01, 7.843951968931409668e-01
-2.874563630479415544e+00, 9.889595296741369168e-01, 9.303026060573836853e-01, 7.670257592914324629e-01
-2.795844003376064091e+00, 8.777958011046032016e-01, 9.380288286706577328e-01, 7.542744509226697591e-01
-2.711013465207809503e+00, 7.715750044948501696e-01, 9.414907314943210537e-01, 7.433876445482747730e-01
-2.619540401256250206e+00, 6.696927456225719721e-01, 9.419093131937752439e-01, 7.361828591447957537e-01
-2.520951255307049887e+00, 5.724257149581786219e-01, 9.400534715158191945e-01, 7.351049259131747782e-01
-2.415005735120119290e+00, 4.803586173217590516e-01, 9.346194064811227387e-01, 7.400749562096889944e-01
